brand,x,y

Rogue_Fitness_(Verified_Page),16.116497,-25.449507
Gaylord_Opryland_Resort_&_Convention_Center_(Verified_Page),17.19011,27.959097
Tom's_Of_Maine_(Verified_Page),8.639509,-13.7504225
Southwest_Airlines_(Verified_Page),28.817434,8.101662
Hint_(Verified_Page),5.3164477,-8.956983
Bai_(Verified_Page),5.4970284,-10.277934
Rawlings_Sporting_Goods,-14.287549,-8.916052
Parker_Bows,-5.5107555,-35.0494
Arbonne,3.181684,-9.491608
Marriott_International_(Verified_Page),-17.502129,-14.49651
Pacifica,2.2985182,-11.635402
RetailMeNot_(Verified_Page),9.485653,-15.664002
Brunswick_Bowling,-4.351559,-16.377642
Subway_(Verified_Page),7.055523,16.647316
The_Blue_Door_Boutique_(Verified_Page),-24.2268,44.0161
COMP_Cams,-34.79336,31.266277
Chevrolet_Camaro_(Verified_Page),22.352917,-8.292331
Mitchell_&_Ness,-5.5420995,5.0272593
Flowmaster_Mufflers_INC.,-31.471968,32.727997
Freebord,-20.862696,19.46716
Anchor_Brewing_Company,30.482405,-1.4898777
Polaris_Snowmobiles_(Verified_Page),-13.2334,28.710957
Royal_&_Langnickel_Makeup_Brushes,-35.24788,41.294506
Under_Armour_Basketball_(Verified_Page),16.355543,-23.771172
ScentLok,29.006317,-15.468534
Lumenok,-6.887794,-36.796413
Tootsie_Roll_(Verified_Page),4.4049363,13.754618
Falken_Tire_(Verified_Page),22.118942,-10.416084
Yokohama_Tire,3.0961702,6.8934636
Outdoor_Project,31.854824,1.9667383
Charming_Charlie_(Verified_Page),-12.554936,25.627289
Rip_It_Energy,-21.629684,35.09262
TaylorMade_Golf_(Verified_Page),4.322374,-27.714756
GORE-TEX_Hunt_&_Fish_Gear_(Verified_Page),-19.700052,-19.335274
Colonial_Properties_Cabin_&_Resort_Rentals,-23.528875,-14.342075
Z-Man_Fishing_Products,32.131157,-15.181103
Widmer_Brothers_Brewing_(Verified_Page),30.41482,-0.28222674
Cannondale,-15.88895,-7.5783076
Cheaper_Than_Dirt,26.295948,-13.960825
TradeWinds_Island_Resorts,14.900305,31.159342
Asurion,-22.530767,-8.949495
Eagle_Rare_Bourbon_(Verified_Page),28.520348,-1.3666865
Juicy_Juice_(Verified_Page),6.772395,-12.711881
Steam,-9.296078,-2.7035215
Cricket_Wireless_(Verified_Page),-22.213985,-7.6884418
Audi_USA_(Verified_Page),22.845697,-6.1962814
JetBlue_(Verified_Page),23.450724,3.1057022
Go_RVing_(Verified_Page),29.04087,2.2143517
Hourglass_Cosmetics_(Verified_Page),-4.000059,-12.22992
Barnett,-21.912155,-21.040014
Straight_Talk_(Verified_Page),-21.59813,-5.8143287
PUMA_Golf_(Verified_Page),0.2765201,-26.593739
Auntie_Anne's_(Verified_Page),9.131618,4.3123927
Adobe_Premiere_Pro,17.179577,-14.037639
Hilton_Sandestin_Beach_Golf_Resort_&_Spa,17.19994,29.532782
Elk_Springs_Resort,-24.614256,-13.192057
Hasbro_Gaming_(Verified_Page),-28.761469,42.852715
Kenra_Professional,-21.162245,32.12951
Reebok_(Verified_Page),-31.935986,38.053623
Redken_(Verified_Page),-8.02079,-1.7948676
Scnci_Hair_Accessories,5.0173907,-14.375762
Bodybuilding.com_(Verified_Page),-9.304226,-19.538359
Crystal_Cruises,25.02753,9.28438
Winchester,21.499878,-37.35316
BONES_WHEELS,7.225567,-35.156532
Nike_Football_(Verified_Page),16.64247,-24.16341
Warrior_Hockey,-22.770163,24.16578
Nature_Made_(Verified_Page),6.8573523,-8.491979
Frontier_Communications_(Verified_Page),2.8404949,10.217444
Vibram_FiveFingers_(Verified_Page),-0.44825962,0.7415598
Crabtree_&_Evelyn_US_and_Canada,-7.228378,12.02102
The_Mint_Julep_Boutique_(Verified_Page),0.3657688,-6.360931
Walmart_(Verified_Page),6.5689616,15.82796
Microsoft_Imagine_(Verified_Page),-22.7585,-3.6511683
Wilson_Baseball_/_Softball_(Verified_Page),18.731064,-23.70293
GE_Appliances_(Verified_Page),-24.437984,27.263063
Akamai_Technologies,-17.444937,19.734009
Mountain_Hardwear,-16.582329,-10.3002205
Travelpirates.com_(Verified_Page),31.153408,3.4518104
Avoya_Travel,-27.2446,45.57226
Soap_&_Glory_USA_(Verified_Page),1.2762793,-14.662707
The_Horse_Mafia,14.024852,-17.599457
CRKT,-0.6205157,-34.19848
Specialized_Bicycles_(Verified_Page),14.606246,-31.671045
Liv_Cycling,2.345987,-0.5244854
Clarisonic_(Verified_Page),-26.551031,18.235207
Ugly_Stik_(Verified_Page),25.933918,-32.73255
Spiderwire_(Verified_Page),-10.910864,-30.91276
Arctic_Cat_-_Snowmobiles_(Verified_Page),-30.82364,32.99001
SOG_Knives_&_Tools,17.648197,-37.817223
Palace_Resorts,-13.57364,20.858303
Remote_Year_(Verified_Page),-29.560877,40.04
L.A._Girl_Cosmetics,-34.77484,41.680492
KeVita_(Verified_Page),-18.542923,31.4992
Tropicana_Las_Vegas,16.394003,33.956696
Titleist_(Verified_Page),4.2474046,-27.711971
Qdoba_(Verified_Page),-25.025383,42.18198
Banded_Nation,-8.896904,-36.157787
Clamato_(Verified_Page),-21.610676,34.420647
Brooks_Running_(Verified_Page),18.871237,-28.349989
VMware,-23.014584,-4.7934337
Scotties_Facial_Tissue,10.292244,-13.234285
Air_New_Zealand_(Verified_Page),30.905355,7.3474727
Full-Race_Motorsports,10.922703,-3.4316895
Invisalign,8.007988,-16.681068
Spyderco,-1.0627875,-33.910168
Get_It_Free,-0.60952336,-5.153686
Hyundai_(Verified_Page),23.680365,-7.5144887
Eight_O'Clock_Coffee,6.114251,-15.194801
Avon_USA_Representatives,-16.275024,33.13439
Reebok_Women,-2.736962,3.0642092
StudentUniverse_(Verified_Page),22.021687,0.425548
Paul_Jr._Designs_(Verified_Page),7.0825586,-0.7108908
Cummins_Inc,-31.32459,32.16735
Yogi,-0.2983986,-10.0131645
Alfa_Romeo_USA_(Verified_Page),16.83035,-6.663351
GoGo_squeeZ_(Verified_Page),7.108047,-11.559004
Swanson_Health_Products,8.654025,-7.30104
